vehicle_id,datetime,location_province,liters,kwh,price_per_l,price_per_kwh,cost_eur,km_since_last,odo_km
B00380,2016-01-01,Valencia,72.65,,,,,186,153237
B00403,2016-01-01,Zaragoza,124.22,,,,,342,239770
T00207,2016-01-01,Barcelona,218.28,,,,,741,221267
T00004,2016-01-02,Zaragoza,727.11,,,,,2074,269037
T00007,2016-01-02,Madrid,372.37,,,,,2198,218692
T00039,2016-01-02,A Coruña,566.89,,,,,1512,151984
B00385,2016-01-03,Sevilla,218.71,,,,,629,226030
T00089,2016-01-03,Valencia,154.6,,,,,496,194095
T00289,2016-01-04,Madrid,276.49,,,,,865,121088
B00415,2016-01-04,Sevilla,293.09,,,,,719,156233
T00132,2016-01-04,Madrid,121.62,,,,,310,303397
T00207,2016-01-04,Madrid,399.92,,,,,1357,216262
B00406,2016-01-06,Madrid,305.21,,,,,580,127595
T00166,2016-01-06,Valencia,681.55,,,,,2576,132197
T00177,2016-01-06,A Coruña,478.94,,,,,1210,258213
B00346,2016-01-06,Zaragoza,172.39,,,,,422,228295
T00096,2016-01-06,Valencia,610.14,,,,,1678,246086
B00367,2016-01-07,A Coruña,130.3,,,,,215,287898
T00167,2016-01-08,Madrid,477.89,,,,,2269,160614
T00300,2016-01-08,A Coruña,530.66,,,,,1693,287587
T00088,2016-01-08,Sevilla,79.4,,,,,220,268336
T00103,2016-01-08,Sevilla,310.45,,,,,1232,273110
B00411,2016-01-09,A Coruña,100.78,,,,,362,102308
B00420,2016-01-09,Valencia,355.07,,,,,741,286163
T00174,2016-01-10,Sevilla,191.18,,,,,557,227294
T00255,2016-01-10,Madrid,166.4,,,,,728,187417
B00420,2016-01-10,Zaragoza,169.75,,,,,354,293619
B00301,2016-01-10,Sevilla,,164.11,,,,111,245921
B00334,2016-01-11,Madrid,305.48,,,,,639,210357
T00001,2016-01-12,A Coruña,452.77,,,,,1852,277989
T00117,2016-01-12,Zaragoza,130.0,,,,,412,155908
T00072,2016-01-12,Barcelona,455.96,,,,,1233,208122
T00192,2016-01-12,Valencia,165.56,,,,,449,282819
B00357,2016-01-12,Valencia,264.99,,,,,570,119587
T00007,2016-01-12,Sevilla,392.16,,,,,2314,202874
T00182,2016-01-13,Barcelona,515.29,,,,,1719,275751
T00063,2016-01-13,A Coruña,119.25,,,,,390,262041
B00381,2016-01-13,Valencia,57.0,,,,,153,166196
T00061,2016-01-13,Sevilla,724.74,,,,,2423,186674
B00323,2016-01-13,Madrid,,172.67,,,,112,243769
T00271,2016-01-14,A Coruña,144.6,,,,,585,309907
T00062,2016-01-14,Madrid,370.7,,,,,1713,225998
B00412,2016-01-14,Barcelona,137.98,,,,,410,213869
B00321,2016-01-15,Madrid,,153.27,,,,91,130202
T00169,2016-01-15,A Coruña,390.76,,,,,1034,127888
T00161,2016-01-15,Sevilla,618.11,,,,,2298,298890
T00190,2016-01-15,Zaragoza,841.18,,,,,3046,203310
T00248,2016-01-16,Valencia,379.01,,,,,1279,123594
B00351,2016-01-16,Madrid,247.53,,,,,528,211070
T00001,2016-01-16,Barcelona,453.42,,,,,1855,291448
T00108,2016-01-16,Valencia,355.71,,,,,1049,167140
T00135,2016-01-17,Barcelona,715.46,,,,,2575,190440
T00031,2016-01-17,Sevilla,568.92,,,,,1964,179566
T00178,2016-01-17,Sevilla,177.26,,,,,501,254264
T00106,2016-01-18,Barcelona,261.41,,,,,775,156077
B00359,2016-01-18,Zaragoza,232.7,,,,,730,259572
T00050,2016-01-18,A Coruña,819.38,,,,,2289,132504
T00185,2016-01-18,A Coruña,245.58,,,,,742,115959
T00035,2016-01-19,A Coruña,401.61,,,,,1118,273094
T00185,2016-01-19,Valencia,162.84,,,,,492,126511
T00041,2016-01-19,Barcelona,242.93,,,,,867,215008
T00229,2016-01-19,Valencia,564.74,,,,,2183,247992
T00140,2016-01-19,Madrid,181.98,,,,,829,299721
T00180,2016-01-19,Sevilla,364.55,,,,,1517,178693
T00015,2016-01-19,A Coruña,367.07,,,,,1359,168120
B00400,2016-01-19,Madrid,266.86,,,,,653,135572
T00144,2016-01-19,Madrid,87.08,,,,,369,224589
T00238,2016-01-20,Zaragoza,114.87,,,,,308,135354
B00416,2016-01-20,Zaragoza,202.9,,,,,489,183620
T00217,2016-01-20,Zaragoza,761.98,,,,,2420,300790
B00364,2016-01-21,Barcelona,330.03,,,,,801,202445
B00360,2016-01-21,Zaragoza,345.63,,,,,783,239828
T00198,2016-01-21,Sevilla,77.02,,,,,227,143696
T00215,2016-01-21,Madrid,233.22,,,,,787,183097
T00122,2016-01-22,Barcelona,381.87,,,,,1236,279634
B00401,2016-01-22,Madrid,46.15,,,,,171,139925
B00345,2016-01-22,Valencia,210.74,,,,,508,233446
B00396,2016-01-22,Zaragoza,357.74,,,,,899,221815
B00351,2016-01-23,Valencia,283.87,,,,,606,207171
B00402,2016-01-23,Valencia,72.82,,,,,163,278113
T00291,2016-01-23,Sevilla,746.78,,,,,2830,207792
T00151,2016-01-23,Sevilla,83.21,,,,,274,271639
T00099,2016-01-23,A Coruña,344.87,,,,,1002,134908
T00011,2016-01-23,Madrid,269.6,,,,,1004,184990
T00222,2016-01-24,Zaragoza,299.78,,,,,1008,327772
B00349,2016-01-24,Zaragoza,177.06,,,,,364,119160
B00385,2016-01-24,Zaragoza,88.66,,,,,255,232560
T00164,2016-01-24,Valencia,654.08,,,,,1987,253652
T00218,2016-01-25,Barcelona,424.44,,,,,1731,199923
T00170,2016-01-25,Barcelona,126.88,,,,,456,283321
T00001,2016-01-25,A Coruña,443.34,,,,,1814,272510
B00352,2016-01-25,Madrid,68.23,,,,,318,237040
T00042,2016-01-25,Sevilla,245.1,,,,,825,182545
T00249,2016-01-25,Sevilla,272.14,,,,,1111,168920
T00271,2016-01-26,A Coruña,255.37,,,,,1034,297631
B00379,2016-01-26,Valencia,190.73,,,,,467,247045
T00098,2016-01-27,Zaragoza,136.45,,,,,444,146357
T00183,2016-01-27,Barcelona,448.1,,,,,1575,251582
T00077,2016-01-27,Sevilla,499.47,,,,,1502,115359
B00415,2016-01-28,Valencia,279.82,,,,,686,152765
B00337,2016-01-28,Madrid,152.94,,,,,369,302691
T00132,2016-01-29,Barcelona,110.85,,,,,282,318493
T00296,2016-01-29,Barcelona,453.19,,,,,1813,246582
T00164,2016-01-30,Valencia,266.9,,,,,811,249944
T00214,2016-01-30,Madrid,192.03,,,,,513,280469
T00286,2016-01-30,Valencia,402.29,,,,,1475,236118
T00104,2016-01-30,Madrid,32.43,,,,,92,171887
B00341,2016-01-30,Zaragoza,148.03,,,,,272,190245
B00304,2016-01-30,Madrid,,137.13,,,,83,273165
B00384,2016-01-31,Madrid,273.73,,,,,651,141769
T00027,2016-01-31,Zaragoza,637.75,,,,,2740,350124
B00358,2016-02-02,Valencia,205.77,,,,,531,141173
T00124,2016-02-03,Sevilla,183.56,,,,,713,256073
B00303,2016-02-03,Madrid,,119.23,,,,86,118360
T00288,2016-02-03,Zaragoza,644.38,,,,,1928,178859
T00218,2016-02-03,Valencia,84.3,,,,,343,220935
B00340,2016-02-03,Sevilla,283.73,,,,,463,197077
T00036,2016-02-04,Zaragoza,504.33,,,,,1976,166860
T00112,2016-02-04,A Coruña,170.49,,,,,439,227050
T00198,2016-02-05,A Coruña,411.68,,,,,1216,142278
T00281,2016-02-05,Sevilla,422.35,,,,,1401,249981
T00192,2016-02-05,A Coruña,300.48,,,,,816,282370
B00362,2016-02-06,Sevilla,332.23,,,,,858,282987
T00074,2016-02-06,Valencia,218.29,,,,,630,316679
T00151,2016-02-06,Sevilla,334.01,,,,,1102,271091
T00148,2016-02-07,Barcelona,391.94,,,,,1329,228255
T00064,2016-02-07,Sevilla,381.96,,,,,1371,131904
B00326,2016-02-08,Zaragoza,243.38,,,,,486,261304
T00170,2016-02-08,Sevilla,676.17,,,,,2432,298946
T00108,2016-02-08,Barcelona,458.26,,,,,1352,161103
T00179,2016-02-08,Barcelona,201.51,,,,,559,267402
T00237,2016-02-09,Zaragoza,253.59,,,,,1187,254815
B00389,2016-02-09,Valencia,263.36,,,,,875,266933
T00021,2016-02-09,A Coruña,427.18,,,,,973,246516
T00258,2016-02-09,Madrid,659.91,,,,,2184,205343
T00296,2016-02-10,Sevilla,189.33,,,,,757,274051
T00134,2016-02-11,Sevilla,363.17,,,,,1127,117368
B00347,2016-02-11,Sevilla,149.91,,,,,248,262599
T00008,2016-02-11,Zaragoza,409.89,,,,,1179,215468
T00248,2016-02-11,Sevilla,136.52,,,,,460,134575
T00098,2016-02-12,Zaragoza,224.24,,,,,729,167741
T00224,2016-02-12,A Coruña,171.5,,,,,543,245209
T00023,2016-02-12,Sevilla,196.81,,,,,633,249999
T00059,2016-02-12,Barcelona,239.45,,,,,947,325769
B00354,2016-02-13,Zaragoza,232.3,,,,,694,120787
T00148,2016-02-13,Valencia,375.5,,,,,1274,200354
T00270,2016-02-13,Valencia,301.78,,,,,1184,118700
T00069,2016-02-13,Madrid,156.55,,,,,599,174934
T00046,2016-02-14,Sevilla,147.51,,,,,655,182086
T00098,2016-02-15,Madrid,107.43,,,,,349,160658
B00403,2016-02-15,Zaragoza,45.07,,,,,124,227345
B00412,2016-02-15,A Coruña,246.31,,,,,732,217242
T00048,2016-02-15,Sevilla,93.55,,,,,335,262163
T00216,2016-02-16,Valencia,84.59,,,,,295,215536
T00198,2016-02-16,Zaragoza,536.41,,,,,1584,140238
T00291,2016-02-16,A Coruña,286.81,,,,,1087,226563
T00049,2016-02-16,Zaragoza,298.7,,,,,918,309787
T00285,2016-02-16,Madrid,121.9,,,,,471,228099
T00117,2016-02-17,Madrid,248.98,,,,,789,156697
T00120,2016-02-17,Madrid,252.4,,,,,840,208713
T00061,2016-02-18,Madrid,194.54,,,,,650,173428
T00095,2016-02-18,Zaragoza,373.93,,,,,1104,164822
T00118,2016-02-18,A Coruña,318.6,,,,,1018,281276
B00329,2016-02-19,Barcelona,85.75,,,,,164,237176
T00152,2016-02-19,Madrid,819.72,,,,,1963,229918
T00124,2016-02-20,A Coruña,202.67,,,,,787,247343
T00286,2016-02-20,Zaragoza,924.55,,,,,3390,240535
T00166,2016-02-20,Zaragoza,693.28,,,,,2621,134818
T00122,2016-02-20,Barcelona,136.02,,,,,440,283591
T00113,2016-02-20,Valencia,501.59,,,,,1421,183222
B00381,2016-02-20,Valencia,133.74,,,,,359,175192
T00150,2016-02-21,A Coruña,220.95,,,,,603,193917
B00334,2016-02-21,Valencia,81.94,,,,,171,209718
T00180,2016-02-21,Zaragoza,186.67,,,,,777,216092
T00039,2016-02-21,Barcelona,165.46,,,,,441,125183
T00079,2016-02-21,A Coruña,525.8,,,,,1588,267944
B00377,2016-02-21,Zaragoza,312.2,,,,,794,268227
B00325,2016-02-22,Zaragoza,162.45,,,,,368,174090
T00249,2016-02-22,Zaragoza,132.72,,,,,541,174655
T00028,2016-02-22,A Coruña,405.93,,,,,1585,236475
T00146,2016-02-23,A Coruña,183.1,,,,,465,202023
T00273,2016-02-23,Barcelona,255.69,,,,,822,112781
T00286,2016-02-23,Sevilla,224.95,,,,,824,280040
T00002,2016-02-23,Valencia,226.76,,,,,717,159403
T00071,2016-02-24,Barcelona,305.74,,,,,825,119234
T00119,2016-02-24,A Coruña,536.4,,,,,1442,260063
B00334,2016-02-24,Sevilla,310.92,,,,,650,203189
T00167,2016-02-25,Barcelona,723.3,,,,,3434,164048
T00198,2016-02-25,A Coruña,206.5,,,,,610,154219
B00380,2016-02-25,Sevilla,191.71,,,,,492,152504
T00055,2016-02-25,Sevilla,368.1,,,,,2201,166876
T00257,2016-02-26,Madrid,428.62,,,,,1453,120520
T00017,2016-02-26,Barcelona,396.97,,,,,1594,259472
B00407,2016-02-26,Zaragoza,160.73,,,,,414,131781
T00081,2016-02-26,Zaragoza,441.39,,,,,1564,248192
B00334,2016-02-26,Barcelona,110.12,,,,,230,217914
T00085,2016-02-26,Valencia,177.01,,,,,776,211192
T00042,2016-02-26,Zaragoza,263.04,,,,,885,188257
T00057,2016-02-26,Madrid,73.96,,,,,229,166749
T00237,2016-02-27,A Coruña,305.84,,,,,1432,229466
T00036,2016-02-27,Madrid,464.21,,,,,1819,196487
T00203,2016-02-27,Valencia,51.27,,,,,158,188465
T00162,2016-02-27,Barcelona,385.53,,,,,1366,260145
T00053,2016-02-28,Barcelona,143.27,,,,,498,223083
T00074,2016-02-28,Zaragoza,403.13,,,,,1164,299029
B00419,2016-02-29,A Coruña,82.63,,,,,312,238749
B00314,2016-02-29,Madrid,,243.92,,,,142,170860
T00077,2016-02-29,Valencia,465.53,,,,,1400,135978
T00023,2016-03-01,Madrid,675.37,,,,,2172,259610
B00393,2016-03-02,Sevilla,58.0,,,,,223,300849
B00401,2016-03-02,A Coruña,82.1,,,,,304,132493
T00055,2016-03-02,Barcelona,169.53,,,,,1013,204990
T00072,2016-03-02,Madrid,125.13,,,,,338,208688
B00318,2016-03-02,Madrid,,105.83,,,,100,106451
B00338,2016-03-03,Valencia,66.8,,,,,143,147455
B00375,2016-03-03,Madrid,299.57,,,,,807,211739
T00166,2016-03-03,Barcelona,508.9,,,,,1923,145777
B00378,2016-03-03,Zaragoza,93.91,,,,,233,116796
T00289,2016-03-03,Madrid,370.24,,,,,1158,117096
T00023,2016-03-03,Madrid,755.37,,,,,2429,280558
B00344,2016-03-03,Zaragoza,71.99,,,,,233,302271
T00108,2016-03-03,A Coruña,155.11,,,,,457,164133
T00214,2016-03-03,A Coruña,295.73,,,,,791,279956
T00141,2016-03-04,Zaragoza,530.84,,,,,1664,211040
T00036,2016-03-04,Zaragoza,228.17,,,,,894,181156
T00197,2016-03-04,Barcelona,363.84,,,,,1000,110142
