Municipio,Latitud,Longitud,Horario,Operador,Gasolina95,Gasolina98,GasoleoA,GasoleoPlus,Bioetanol(%),Ester Metilico(%)
,,,LLA,,,,,,0.0,0.0
Abengibre,"39,211417","-1,539167",L-D: 7:00-23:00,,9.211,1.539,1.369,0.899,0.0,0.0437552020702152
Alatoz,"39,100389","-1,346083",LLE,REPSOL,9.1,1.346,1.539,1.599,0.0,0.0512253020702001
Albacete,"39,054694","-1,832000",L-S: 08:00-22:00;,BP,9.054,1.832,0.99,1.469,0.0,0.01205454020702
Albacete,"38,985667","-1,868500",LLE,CARREFOUR,8.985,1.868,1.409,1.449,0.0,0.01076554020702
Albacete,"39,000861","-1,849833",LLE,PLENERGY,9.0,1.849,1.299,1.369,0.0,0.01393354020702
Albacete,"38,997722","-1,846361",L-S: 09:00-21:30,MOEVER,8.997,1.846,1.48,0.044,0.0,0.0443854020702005
Albacete,"39,006889","-1,885361","L, 58",,9.006,1.885,0.818,1.299,0.0,0.01500054020702
Albacete,"39,003333","-1,864917","LA), 36",,9.003,1.864,1.449,1.549,0.0,0.0436954020702005
Albacete,"39,005083","-1,859917",L,,9.005,1.859,0.964,1.459,0.0,0.01412354020702
Albacete,"38,999722","-1,854556",LLE,REPSOL,8.999,1.854,1.539,0.939,0.0,0.0519554020702005
Albacete,"39,005528","-1,884444",LLE,PLENERGY,9.005,1.884,1.279,1.349,0.0,0.01601154020702
Albacete,"38,989250","-1,849028",LOS,CEPSA,8.989,1.849,1.479,1.589,0.0,0.0531354020702006
Albacete,"38,998222","-1,869889",LLE,,8.998,1.869,1.379,1.429,0.0,0.0441554020702006
Albacete,"38,988972","-1,847361",LY,,8.988,1.847,1.299,1.399,0.0,0.0442854020702006
Albacete,"38,963972","-1,875944",LA,,8.963,1.875,1.403,1.47,0.0,0.0437254020702006
Albacete,"38,994667","-1,871722",L-D: 06:30-21:30,REPSOL,8.994,1.871,1.469,1.549,0.0,0.0524554020702006
Albacete,"38,925833","-2,031861",LANO-,REPSOL,8.925,2.031,1.469,1.539,0.0,0.0511654020702006
Albacete,"39,012583","-1,874972",L-D: 07:00-23:00,REPSOL,9.012,1.874,1.479,1.549,0.0,0.0519154020702006
Albacete,"38,985194","-1,866806",LLE,PETROCAM,8.985,1.866,1.409,1.459,0.0,0.0531854020702006
Albacete,"38,988111","-1,883694",L 322,REPSOL,8.988,1.883,1.199,1.549,0.0,0.0522254020702006
Albacete,"38,965639","-1,935500",L-D: 24,,8.965,1.935,1.359,0.014,0.0,0.01437754020702
Albacete,"39,027778","-1,892972",L-D: 07:00-23:00,REPSOL,9.027,1.892,1.559,1.469,0.0,0.0520854020702006
Albacete,"38,982167","-1,853306",L 301,,8.982,1.853,1.379,1.439,0.0,0.0441654020702099
Albacete,"38,929389","-1,831639",L-D: 08:00-16:00,,8.929,1.831,0.899,1.369,0.0,0.0512954020702328
Albacete,"38,900944","-1,994028",L-S: 07:00-14:00;,REPSOL,8.9,1.994,1.429,1.085,0.0,0.052725402070214
Albacete,"38,867556","-1,920500",L,,8.867,1.92,1.347,1.0,0.0,0.0439454020702099
Albacete,"38,870278","-1,922722",L,,8.87,1.922,0.95,0.089,0.0,0.0891554020702007
Albacete,"39,029167","-1,888333",LA,LA GAVIOTA GASOLINERA,9.029,1.888,0.899,1.369,0.0,0.01554754020702
Albacete,"39,015444","-1,871361",L-D: 06:00-22:00,CEPSA,9.015,1.871,1.459,1.459,0.0,0.01362054020702
Albacete,"38,971722","-1,845278",L.,REPSOL,8.971,1.845,1.449,1.509,0.0,0.0954654020702007
Albacete,"38,971778","-1,845306",L Nº,REPSOL,8.971,1.845,1.449,1.509,0.0,0.01129754020702
Albacete,"39,031528","-1,891361",L-D: 24,REPSOL,9.031,1.891,0.939,1.489,0.0,0.01108754020702
Albacete,"39,018000","-1,874333",L-D: 06:00-23:30,,9.018,1.874,0.849,1.399,0.0,0.01280154020702
Albacete,"38,998111","-1,831611",L.,CEPSA,8.998,1.831,1.499,1.639,0.0,0.0479054020702007
Albacete,"39,009639","-1,878111",LANO,ALCAMPO,9.009,1.878,1.259,1.314,0.0,0.0960154020702007
Albacete,"39,016389","-1,893944",L-D: 24,,9.016,1.893,0.899,1.369,0.0,0.0441754020702007
Albacete,"39,009417","-1,885694",LANO,,9.009,1.885,1.329,1.399,0.0,0.01276354020702
Albacete,"39,021583","-1,886556",LERO 24,,9.021,1.886,1.369,1.479,0.0,0.01393054020702
Albacete,"39,012472","-1,889417",LLE,AVANZA OIL,9.012,1.889,0.999,1.309,0.0,0.01012954020702
Albacete,"39,029583","-1,888083",L-D: 24,NATURGY,9.029,1.888,1.289,1.199,0.0,0.01461254020702
Albacete,"39,022139","-1,882056",LANO,,9.022,1.882,1.259,1.329,0.0,0.01336954020702
Albacete,"39,021972","-1,879639",LA 678,,9.021,1.879,1.369,1.539,0.0,0.044135402070208
Albacete,"38,969361","-1,823639",L-D: 07:00-23:00,CEPSA,8.969,1.823,0.989,1.479,0.0,0.0142875402070208
Albacete,"39,059806","-1,933250",L-D: 24,,9.059,1.933,1.489,1.604,0.0,0.051735402070208
Albacete,"39,060528","-1,933056",LAS,,9.06,1.933,1.479,1.594,0.0,0.051745402070208
Albacete,"38,970778","-1,873194",LOS,,8.97,1.873,1.409,1.469,0.0,0.0144655402070212
Alcadozo,"38,646833","-1,978917",L-D: 08:00-20:00,CEPSA,8.646,1.978,1.569,1.279,0.0,0.047945702070221
Alcalá,"39,203167","-1,433222",LA,,9.203,1.433,1.409,1.469,0.0,0.08097580207023
Alcaraz,"38,673111","-2,492222",L-V: 07:00-17:00,REPSOL,8.673,2.492,1.469,1.539,0.0,0.052415902070233
Alcaraz,"38,808528","-2,327639",L)-2,REPSOL,8.808,2.327,1.429,1.489,0.0,0.051345902070264
Almansa,"38,874583","-1,100528",L-D: 07:00-23:00,REPSOL,8.874,1.1,0.929,1.439,0.0,0.048776002070264
Almansa,"38,875028","-1,175750",L-D: 24,SHELL,8.875,1.175,1.449,1.529,0.0,0.043836002070264
Almansa,"38,871556","-1,108000",L-D: 24,BALLENOIL,8.871,1.108,1.329,1.339,0.0,0.047986002070264
Almansa,"38,879167","-1,098889",L-D: 06:00-22:00,BALLENOIL,8.879,1.098,1.329,1.339,0.0,0.048726002070264
Almansa,"38,859944","-1,084750",L-D: 06:00-22:00,,8.859,1.084,0.899,1.464,0.0,0.047886002070264
Almansa,"38,878278","-1,143722","L, 8",,8.878,1.143,0.899,1.464,0.0,0.047996002070264
Almansa,"38,874556","-1,102944",LITY,,8.874,1.102,0.899,1.329,0.0,0.0142566002070264
Almansa,"38,850278","-1,027694",LOW,,8.85,1.027,0.649,1.349,0.0,0.0141296002070264
Almansa,"38,878667","-1,100028",L-D: 24,PLENERGY,8.878,1.1,1.329,1.359,0.0,0.0161446002070269
Alpera,"38,958875","-1,236552",L-D: 07:00-23:00,,8.958,1.236,1.302,0.931,0.0,0.090356102070232
Balazote,"38,878028","-2,150639",LLE,,8.878,2.15,1.459,1.12,0.0,0.0439663020702639
Barrax,"39,043139","-2,195139",LOS,,9.043,2.195,1.459,1.12,0.0,0.0439966020702639
Barrax,"39,051236","-2,192996",L-D: 07:00-22:00,,9.051,2.192,1.3,0.924,0.0,0.092546602070236
Bienservida,"38,516417","-2,617667",L-D: 06:00-22:00,,8.516,2.617,1.364,1.364,0.0,0.0113646702070269
