punto_ev_id,nombre_punto,operador,latitud,longitud,carretera,direccion,tipo_conector,potencia_kw,precio_kwh,disponible_24h
E0001,Iberdrola Punto 000,Iberdrola,40.2608,-3.59123,A-3,Área A-3 km 318,Type2,112.6,0.303,no
E0002,Ionnity Punto 001,Ionnity,40.41428,-3.83176,AP-7,Área AP-7 km 225,Type2,106.1,0.424,si
E0003,Zunder Punto 002,Zunder,40.47211,-3.84763,A-2,Área A-2 km 103,CCS2,110.1,0.417,no
E0004,Tesla Punto 003,Tesla,40.39362,-3.76805,A-3,Área A-3 km 120,CCS2,96.3,0.442,si
E0005,Ionnity Punto 004,Ionnity,40.35584,-3.78064,A-3,Área A-3 km 478,CCS2,42.4,0.457,si
E0006,Endesa Punto 005,Endesa,40.29313,-3.60621,A-5,Área A-5 km 265,Type2,96.7,0.38,si
E0007,Ionnity Punto 006,Ionnity,40.54751,-3.67026,A-2,Área A-2 km 479,Type2,102.2,0.424,no
E0008,Tesla Punto 007,Tesla,40.36885,-3.77436,AP-7,Área AP-7 km 343,Type2,64.0,0.51,si
E0009,Ionnity Punto 008,Ionnity,40.36657,-3.67939,AP-7,Área AP-7 km 477,CCS2,98.4,0.463,si
E0010,Endesa Punto 009,Endesa,40.5455,-3.7325,A-5,Área A-5 km 512,CCS2,29.7,0.365,si
E0011,Zunder Punto 010,Zunder,40.35271,-3.68002,AP-7,Área AP-7 km 253,CCS2,100.0,0.401,si
E0012,Tesla Punto 011,Tesla,40.35954,-3.88318,A-3,Área A-3 km 279,CCS2,56.2,0.421,si
E0013,Zunder Punto 012,Zunder,40.40203,-3.76729,AP-2,Área AP-2 km 576,CCS2,71.8,0.319,no
E0014,Iberdrola Punto 013,Iberdrola,40.47677,-3.83962,AP-2,Área AP-2 km 163,Type2,127.0,0.399,si
E0015,Tesla Punto 014,Tesla,40.2743,-3.75465,A-2,Área A-2 km 434,CCS2,108.6,0.316,si
E0016,Endesa Punto 015,Endesa,40.19989,-3.69298,AP-2,Área AP-2 km 433,CCS2,84.3,0.421,si
E0017,Wenea Punto 016,Wenea,40.44369,-3.6708,A-1,Área A-1 km 398,CCS2,129.4,0.47,si
E0018,Iberdrola Punto 017,Iberdrola,40.32084,-3.84279,A-5,Área A-5 km 350,CCS2,19.9,0.458,no
E0019,Zunder Punto 018,Zunder,40.46383,-3.57808,AP-2,Área AP-2 km 267,CCS2,154.9,0.595,si
E0020,Ionnity Punto 019,Ionnity,40.45696,-3.82574,AP-7,Área AP-7 km 314,Type2,50.5,0.412,no
E0021,Wenea Punto 020,Wenea,40.26145,-3.955,A-1,Área A-1 km 439,Type2,55.5,0.417,si
E0022,Tesla Punto 021,Tesla,40.34191,-3.88154,A-2,Área A-2 km 27,Type2,46.0,0.548,no
E0023,Ionnity Punto 022,Ionnity,40.55654,-3.64606,A-2,Área A-2 km 594,CCS2,68.7,0.418,si
E0024,Ionnity Punto 023,Ionnity,40.23296,-3.89549,A-1,Área A-1 km 535,Type2,138.2,0.43,si
E0025,Zunder Punto 024,Zunder,40.44971,-3.76544,A-2,Área A-2 km 443,CCS2,119.3,0.446,no
E0026,Tesla Punto 025,Tesla,40.21158,-3.45616,A-1,Área A-1 km 499,CCS2,67.8,0.397,no
E0027,Iberdrola Punto 026,Iberdrola,40.28259,-3.6073,A-2,Área A-2 km 263,CCS2,59.2,0.42,si
E0028,Iberdrola Punto 027,Iberdrola,40.43039,-3.60721,A-5,Área A-5 km 77,CCS2,73.1,0.369,si
E0029,Ionnity Punto 028,Ionnity,40.55419,-3.90276,A-3,Área A-3 km 584,CCS2,76.2,0.391,si
E0030,Endesa Punto 029,Endesa,40.61741,-3.72698,A-5,Área A-5 km 555,Type2,66.0,0.435,si
E0031,Tesla Punto 030,Tesla,40.45103,-3.32618,A-1,Área A-1 km 444,CCS2,150.1,0.369,no
E0032,Tesla Punto 031,Tesla,40.46414,-3.52292,A-2,Área A-2 km 498,CCS2,48.8,0.291,si
E0033,Ionnity Punto 032,Ionnity,40.74846,-3.78322,A-5,Área A-5 km 577,CCS2,39.9,0.414,si
E0034,Ionnity Punto 033,Ionnity,40.22369,-3.86832,A-5,Área A-5 km 490,CCS2,191.2,0.35,si
E0035,Endesa Punto 034,Endesa,40.26877,-3.74059,A-3,Área A-3 km 97,CCS2,106.1,0.446,si
E0036,Endesa Punto 035,Endesa,40.38107,-3.74376,A-2,Área A-2 km 108,Type2,52.8,0.448,si
E0037,Tesla Punto 036,Tesla,40.42477,-3.70379,A-2,Área A-2 km 298,CCS2,46.1,0.439,si
E0038,Endesa Punto 037,Endesa,40.6528,-3.64592,A-2,Área A-2 km 34,CCS2,30.5,0.491,no
E0039,Tesla Punto 038,Tesla,40.55592,-3.63564,A-1,Área A-1 km 349,Type2,30.6,0.392,no
E0040,Tesla Punto 039,Tesla,40.40128,-3.7416,A-2,Área A-2 km 310,CCS2,133.9,0.266,si
E0041,Endesa Punto 040,Endesa,40.36101,-3.96731,A-2,Área A-2 km 206,CCS2,88.1,0.524,si
