Municipio;Latitud;Longitud;Horario;Operador;Gasolina95;Gasolina98;GasoleoA;GasoleoPlus;Bioetanol(%);Ester Metilico(%);Lat_f;Lon_f;dist_km_to_route
Artés;41,795000;1,946806;LLE;;1.795;1.946;0.649;1.309;0.0;0.0160987108090827;41.795;1.946806;4.46826557701458
Avinyó;41,867472;1,972389;LLE;CEPSA;1.867;1.972;1.439;1.274;0.0;0.0285587308090891;41.867472;1.972389;3.0642556921040027
Balsareny;41,858028;1,874306;LLET;;1.858;1.874;1.347;1.419;0.0;0.0936987908090821;41.858028;1.874306;3.9461969214953485
Calaf;41,729722;1,513667;LAF1;;1.729;1.513;1.291;0.935;0.0;0.0200189308090828;41.729722;1.513667;3.7748781403572442
Calaf;41,733111;1,526806;LAF1;;1.733;1.526;0.419;1.238;0.0;0.0199589308090827;41.733111;1.526806;3.8564508866622633
Calldetenes;41,928861;2,298444;LLE;REPSOL;1.928;2.298;1.559;1.469;0.0;0.0185689808090836;41.928861;2.298444;3.9783283250843895
Malla;41,882028;2,243583;LLA2;;1.882;2.243;0.439;1.299;0.0;0.0167997608090856;41.882028;2.243583;0.839912926063913
Sallent;41,812417;1,898250;LENT1;;1.812;1.898;0.695;1.264;0.0;0.0119531055080908;41.812417;1.89825;1.7195853800024148
Sallent;41,800639;1,898056;LENT1;PETRONOR;1.8;1.898;0.939;1.439;0.0;0.0248910550809086;41.800639;1.898056;3.028658197280477
Sallent;41,809889;1,899389;LENT1;;1.809;1.899;1.259;1.329;0.0;0.0185210550809086;41.809889;1.899389;1.998081481909065
Sallent;41,790917;1,903583;LLE;;1.79;1.903;0.599;1.269;0.0;0.0151811055080908;41.790917;1.903583;4.122333985979394
Sant;41,778389;1,802583;L-D: 24;;1.778;1.802;1.229;1.295;0.0;0.0167010790809082;41.778389;1.802583;3.9527052117466117
Sant;41,769639;1,789444;L-D: 00:00-23:59;;1.769;1.789;0.599;1.319;0.0;7.016711079080908;41.769639;1.789444;4.460080384040302
Sant;41,769806;1,788639;L: 24;;1.769;1.788;0.5;1.289;0.0;0.0167210790809082;41.769806;1.788639;4.415720990211303
Sant;41,769778;1,788694;LLA1;NATURGY;1.769;1.788;1.289;1.199;0.0;0.0150671079080908;41.769778;1.788694;4.420417158391138
Sant;41,745028;1,578861;L-D: 06:00-22:00;REPSOL;1.745;1.578;1.419;1.499;0.0;0.0282610960809082;41.745028;1.578861;3.6966392897171643
Sant;41,745833;1,580083;LLE;REPSOL;1.745;1.58;1.419;1.499;0.0;0.0282710960809083;41.745833;1.580083;3.5844001519510127
Santpedor;41,783556;1,847194;L-D: 06:00-22:00;;1.783;1.847;0.6;1.255;0.0;0.0130071127080908;41.783556;1.847194;4.1740413325813
Seva;41,845722;2,233944;L DE;;1.845;2.233;0.419;1.237;0.0;0.0151181129080908;41.845722;2.233944;4.233015514704697
Súria;41,827361;1,756083;L-D: 24;REPSOL;1.827;1.756;1.419;1.469;0.0;0.0255611340809082;41.827361;1.756083;2.531923479977473
Súria;41,835667;1,764833;L-D: 06:00-22:00;;1.835;1.764;1.269;1.359;0.0;0.0123491134080908;41.835667;1.764833;3.2921060277782956
Tona;41,853250;2,234861;L-D: 06:00-22:00;SHELL;1.853;2.234;1.299;1.379;0.0;0.0821311430809085;41.85325;2.234861;3.5812229926629477
Tona;41,845083;2,232250;L-D: 06:00-22:00;CEPSA;1.845;2.232;1.437;1.547;0.0;0.0205411430809085;41.845083;2.23225;4.2266919152372795
Tona;41,845000;2,233278;L II;CEPSA;1.845;2.233;1.457;1.564;0.0;0.0278111430809084;41.845;2.233278;4.2755221162518575
Vic;41,929611;2,266389;LES, 2;;1.929;2.266;1.259;1.299;0.0;0.0169811580809085;41.929611;2.266389;4.759531049476864
Vic;41,928167;2,244667;LLE;REPSOL;1.928;2.244;1.469;1.519;0.0;0.0251611580809085;41.928167;2.244667;4.746419176126671
Vic;41,920667;2,252833;LLE;CEPSA;1.92;2.252;1.5;1.56;0.0;0.0179111580809085;41.920667;2.252833;3.8702057902578484
Vic;41,928111;2,245583;LLE;REPSOL;1.928;2.245;1.549;0.969;0.0;0.0251511580809085;41.928111;2.245583;4.730712288884283
Burgos;42,344667;-3,698667;LLE;REPSOL;2.344;3.698;1.469;1.529;0.0;0.059891220090809;42.344667;-3.698667;0.163033047530558
Burgos;42,365028;-3,698778;L-D: 24;;2.365;3.698;0.64;1.309;0.0;0.0161261220090809;42.365028;-3.698778;2.344149047212749
Burgos;42,364306;-3,711944;LAS;;2.364;3.711;0.689;0.909;0.0;0.0107531220090809;42.364306;-3.711944;2.326926203258194
Burgos;42,370528;-3,718528;L I;;2.37;3.718;1.539;1.639;0.0;0.0118781220090809;42.370528;-3.718528;2.6349647118938204
Burgos;42,319611;-3,702278;L-D: 07:00-23:00;BALLENOIL;2.319;3.702;1.309;1.329;0.0;0.0161921220090809;42.319611;-3.702278;2.746771981480892
Burgos;42,310278;-3,702917;L;;2.31;3.702;1.021;1.525;0.0;0.0110581220090809;42.310278;-3.702917;3.7812537172469227
Burgos;42,337472;-3,711889;L;REPSOL;2.337;3.711;0.959;1.529;0.0;0.059861220090809;42.337472;-3.711889;1.4290164019684766
Burgos;42,330333;-3,700500;"L-V: 06:30-22:00;";REPSOL;2.33;3.7;1.529;1.619;0.0;0.060531220090809;42.330333;-3.7005;1.547273102757769
Burgos;42,362528;-3,762083;LLE;;2.362;3.762;1.418;1.498;0.0;0.098031220090809;42.362528;-3.762083;1.1007212952093706
Burgos;42,371861;-3,728361;LAS;;2.371;3.728;0.5;1.359;0.0;0.0141661220090809;42.371861;-3.728361;2.594948925267329
Burgos;42,363611;-3,680694;L-V: 07:00-23:00;CEPSA;2.363;3.68;1.519;1.629;0.0;0.060681220090809;42.363611;-3.680694;2.5561319271163083
Burgos;42,365528;-3,674806;L-D: 24;;2.365;3.674;1.539;1.639;0.0;0.0145161220090809;42.365528;-3.674806;3.0053938716306603
Burgos;42,358694;-3,695111;L-D: 24;CARREFOUR;2.358;3.695;0.5;0.919;0.0;0.060731220090809;42.358694;-3.695111;1.6414290281820505
Burgos;42,360694;-3,694778;LLE;CARREFOUR;2.36;3.694;1.419;1.459;0.0;0.0120621220090809;42.360694;-3.694778;1.8653921047830757
Burgos;42,351583;-3,647722;L;;2.351;3.647;0.69;1.309;0.0;0.0147981220090809;42.351583;-3.647722;2.4629904344306803
Burgos;42,351167;-3,660306;LA;BALLENOIL;2.351;3.66;1.309;1.329;0.0;0.0156831220090809;42.351167;-3.660306;2.8497984756130235
Burgos;42,347500;-3,639694;L;;2.347;3.639;1.25;1.296;0.0;0.0106121220090809;42.3475;-3.639694;1.9407037886051028
Burgos;42,348750;-3,677917;LLE;REPSOL;2.348;3.677;1.529;1.619;0.0;0.055321220090809;42.34875;-3.677917;1.6478096019183563
Burgos;42,358722;-3,650972;LLE;CEPSA;2.358;3.65;1.538;1.633;0.0;0.0145801220090809;42.358722;-3.650972;3.2982297530289273
Burgos;42,360639;-3,652806;LLE;;2.36;3.652;0.5;1.359;0.0;0.0162201220090809;42.360639;-3.652806;3.544174845885714
Burgos;42,362000;-3,653500;L-D: 06:30-22:30;PLENERGY;2.362;3.653;1.309;1.399;0.0;0.0155721220090809;42.362;-3.6535;3.70547158605052
Burgos;42,366083;-3,692694;LLE;GALP;2.366;3.692;1.359;1.409;0.0;0.0504012200908091;42.366083;-3.692694;2.480670269955392
Burgos;42,364111;-3,622139;L 120;REPSOL;2.364;3.622;1.469;1.539;0.0;0.059821220090809;42.364111;-3.622139;4.080003356763226
Burgos;42,344583;-3,647944;LA;REPSOL;2.344;3.647;0.949;1.499;0.0;0.060591220090809;42.344583;-3.647944;1.7228720595918317
Burgos;42,347111;-3,650194;LA;CEPSA;2.347;3.65;1.519;1.559;0.0;0.0143211220090809;42.347111;-3.650194;2.052186530202578
Burgos;42,368111;-3,728194;L I;;2.368;3.728;1.42;1.52;0.0;0.0126081220090809;42.368111;-3.728194;2.1804757219292883
Carcedo;42,287639;-3,623639;L-D: 06:00-22:00;;2.287;3.623;1.277;1.377;0.0;0.0141181231090809;42.287639;-3.623639;4.52404651077226
Cardeñajimeno;42,341250;-3,612222;L-D: 07:00-23:00;REPSOL;2.341;3.612;1.579;1.489;0.0;0.0551812330908093;42.34125;-3.612222;2.646342083065243
Melgar;42,403056;-4,238167;LGAR;;2.403;4.238;1.504;1.601;0.0;0.0599113340908091;42.403056;-4.238167;2.1287001906199174
Melgar;42,401528;-4,245167;LGAR;;2.401;4.245;1.44;0.012;0.0;0.0126061334090809;42.401528;-4.245167;2.218534511444719
Quintanillas (Las);42,366583;-3,843667;LLAS;REPSOL;2.366;3.843;1.489;1.589;0.0;0.0160721402090809;42.366583;-3.843667;0.30318959203699636
Sasamón;42,399444;-4,038056;LLOS;REPSOL;2.399;4.038;0.995;1.508;0.0;0.0153681449090809;42.399444;-4.038056;1.2792397410565832
Villagonzalo;42,306722;-3,732250;LO;SHELL;2.306;3.732;1.519;1.58;0.0;0.0840615060908091;42.306722;-3.73225;4.656803029677265
Villagonzalo;42,308861;-3,702722;LO;;2.308;3.702;1.349;1.439;0.0;0.0132361506090809;42.308861;-3.702722;3.935540499728258
Villagonzalo;42,309056;-3,723556;LO;REPSOL;2.309;3.723;1.589;1.499;0.0;0.0507615060908091;42.309056;-3.723556;4.433727376809485
Villalbilla;42,340889;-3,767000;LLA;REPSOL;2.34;3.767;1.0;1.519;0.0;0.0600815090908093;42.340889;-3.767;1.4260478125761469
Villanueva;42,379861;-3,928167;L-D: 24;;2.379;3.928;0.669;1.329;0.0;0.0475015190908092;42.379861;-3.928167;1.0517100609384433
Angl;41,958250;2,649083;LES2;CEPSA;1.958;2.649;1.519;1.596;0.0;0.0295724561709171;41.95825;2.649083;0.793243691988016
Angl;41,958167;2,634361;LES2;SHELL;1.958;2.634;1.299;1.379;0.0;0.0170724561709171;41.958167;2.634361;1.4679560829817613
Angl;41,959111;2,634639;LES2;;1.959;2.634;0.439;1.309;0.0;0.0162842456170917;41.959111;2.634639;1.5079345501422472
Bescanó;41,967889;2,746250;LIS;;1.967;2.746;1.357;1.417;0.0;0.0146552466170917;41.967889;2.74625;0.7579628875389508
Bescanó;41,964278;2,771639;LIS;;1.964;2.771;1.269;1.349;0.0;0.0126742466170917;41.964278;2.771639;1.2680114873453867
Brunyola;41,907389;2,661139;LA2;REPSOL;1.907;2.661;1.489;1.279;0.0;0.0184124761709177;41.907389;2.661139;4.959082622518568
Cellera;41,966806;2,625250;LERA;REPSOL;1.966;2.625;1.519;1.599;0.0;0.0254624941709174;41.966806;2.62525;2.6496683688488543
Fornells;41,935750;2,797944;LLS;;1.935;2.797;1.277;1.349;0.0;0.0123522518170917;41.93575;2.797944;4.340239136616708
Girona;41,970028;2,839250;LLE;REPSOL;1.97;2.839;1.489;1.549;0.0;0.025202524170917;41.970028;2.83925;4.766463247326456
Girona;41,975250;2,823750;LLE;REPSOL;1.975;2.823;1.489;1.549;0.0;0.023522524170917;41.97525;2.82375;3.484474971463661
Girona;41,962472;2,811028;LLE;REPSOL;1.962;2.811;0.949;1.509;0.0;0.023092524170917;41.962472;2.811028;2.6847618086206806
Girona;41,951167;2,806306;L 1;;1.951;2.806;1.359;1.409;0.0;0.025492524170917;41.951167;2.806306;3.155420598878914
